#format table ## [Custom WaveView] saved 20:37:00 Tue Aug 04 2026
TIME ,v(clk) ,v(out_n) ,v(out_p) 
 0.00000E+000 , 0.00000E+000 , 1.80000E+000 , 1.80000E+000 
 1.00000E-012 , 6.00000E-002 , 1.80830E+000 , 1.80830E+000 
 2.00000E-012 , 1.20000E-001 , 1.81620E+000 , 1.81620E+000 
 5.20000E-012 , 3.12000E-001 , 1.83980E+000 , 1.83980E+000 
 1.54400E-011 , 9.26400E-001 , 1.90640E+000 , 1.90640E+000 
 2.14750E-011 , 1.28850E+000 , 1.95170E+000 , 1.95160E+000 
 3.00000E-011 , 1.80000E+000 , 1.99580E+000 , 1.99460E+000 
 3.28860E-011 , 1.80000E+000 , 1.98960E+000 , 1.98770E+000 
 3.39330E-011 , 1.80000E+000 , 1.98720E+000 , 1.98510E+000 
 3.72820E-011 , 1.80000E+000 , 1.97900E+000 , 1.97610E+000 
 4.49240E-011 , 1.80000E+000 , 1.95890E+000 , 1.95440E+000 
 5.27710E-011 , 1.80000E+000 , 1.91540E+000 , 1.91080E+000 
 6.24340E-011 , 1.80000E+000 , 1.79850E+000 , 1.82550E+000 
 7.54970E-011 , 1.80000E+000 , 1.58710E+000 , 1.67370E+000 
 8.83010E-011 , 1.80000E+000 , 1.36520E+000 , 1.50780E+000 
 1.03540E-010 , 1.80000E+000 , 1.13600E+000 , 1.33620E+000 
 1.19180E-010 , 1.80000E+000 , 9.34640E-001 , 1.24830E+000 
 1.35170E-010 , 1.80000E+000 , 7.39760E-001 , 1.28550E+000 
 1.54860E-010 , 1.80000E+000 , 5.26350E-001 , 1.45200E+000 
 1.73060E-010 , 1.80000E+000 , 3.78980E-001 , 1.59190E+000 
 1.87170E-010 , 1.80000E+000 , 2.83920E-001 , 1.66360E+000 
 2.00000E-010 , 1.80000E+000 , 2.07010E-001 , 1.70560E+000 
 2.02740E-010 , 1.63580E+000 , 1.83580E-001 , 1.70500E+000 
 2.03960E-010 , 1.56240E+000 , 1.73190E-001 , 1.70470E+000 
 2.07870E-010 , 1.32770E+000 , 1.41140E-001 , 1.70460E+000 
 2.20390E-010 , 5.76530E-001 , 1.18860E-001 , 1.71820E+000 
 2.30000E-010 , 0.00000E+000 , 2.35410E-001 , 1.76370E+000 
 2.31540E-010 , 0.00000E+000 , 2.72170E-001 , 1.78070E+000 
 2.32570E-010 , 0.00000E+000 , 2.97060E-001 , 1.79190E+000 
 2.35890E-010 , 0.00000E+000 , 3.78390E-001 , 1.82340E+000 
 2.46090E-010 , 0.00000E+000 , 6.35750E-001 , 1.89040E+000 
 2.56680E-010 , 0.00000E+000 , 8.94000E-001 , 1.92790E+000 
 2.67610E-010 , 0.00000E+000 , 1.11940E+000 , 1.94660E+000 
